JUDUL,ISBN,TAHUN TERBIT,STOK,HARGA
INOVASI SISTEM PENGUKURAN KUALITAS UDARA TERINTEGRASI SOLAR POWER SYSTEM BERBASIS INTERNET OF THINGS (IOT),9786238227976,2023,2023,0
INTEGRASI DATA ERT DAN DATA BOREHOLE DALAM EKSPLORASI NIKEL LATERIT,9786231147387,2024,2024,0
Interaksi Manusia dan Komputer: Memahami Cara Manusia Berinteraksi dengan Teknologi,9786238418879,2023,2023,0
JARINGAN KOMPUTER UNTUK PEMULA,9786238227440,2023,2023,0
Kolaborasi Data Antarprogram Microsoft Office 2019,9786230130793,2022,2022,0
Komoditas Kedelai,9786236813089,2021,2021,0
"Kompos, Pupuk Organik Cair, dan Biogas",9786236813249,2023,2023,0
Konsep dan Penerapan IP Versi 6 Dalam Membangun Jaringan Komputer,9786230130816,2022,2022,0
Kopi Khasiatnya sebagai Antioksidan dan Antiinflamasi Rongga Mulut,9786236813263,2024,2024,0
Kuliner Bengkulu,9786025437441,2023,2023,0
Kupas Tuntas Microsoft Word 2021,9786230132841,2023,2023,0
Manajemen Big Data,9786235851143,2023,2023,0
Manfaat Polifenol Kopi Robusta di Bidang Kedokteran Gigi,9786236813270,2024,2024,0
MASYARAKAT SUNDA TRADISIONAL,9786020899961,2022,2022,0
Matematika Teknik untuk Politeknik,9786230107283,2020,2020,0
Material dan Nanokomposit,9786230119552,2022,2022,0
Mekanika Tanah 1,9786236813010,2020,2020,0
"Mekatronika Kontrol, Pneumatik, Dan Kinematik Robot",9786233296465,2022,2022,0
Mesin Listrik Arus Bolak-Balik,9786230103315,2020,2020,0
METODE GRAVITASI Untuk Eksplorasi Panas Bumi,9786231219022,2024,2024,0
METODE PELAKSANAAN PEKERJAAN PERAWATAN PLAFON BANGUNAN GEDUNG,9786231141798,2023,2023,0
Metode Penelitian Kuantitatif Dengan Pendekatan Statistika,9786230129100,2022,2022,0
"Mode Kegagalan Bendungan Dan Teknik Pemantauan. Manajemen Risiko, Teknik Pemantauan, dan Instrumentasi",9786230129667,2022,2022,0
MODEL PEMBELAJARAN ANALISIS DAN PERANCANGAN SISTEM INFORMASI MENGGUNAKAN COLLASSION LEARNING,9786234952155,2022,2022,0
MONOGRAF KEANEKARAGAMAN JENIS VEGETASI RIPARIAN DAS SUNGAI SIAK,9786234950991,2022,2022,0
"Natural Language Processing: Eksplorasi Sentimen Masyarakat dalam Evaluasi Produk Lokal Indonesia Menggunakan Algoritma Bag of Words, TF-IDF, Word2Vec, dan Doc2Ve",9786230136689,2023,2023,0
Netnografi : How To sell NFT,9786234953022,2022,2022,0
OPTIMALISASI PENYUSUNAN TEMPAT PARKIR KENDARAAN RODA DUA DI BAWAH TANAH BERDASARKAN PRINSIP ERGONOMI,9786231140807,2023,2023,0
OPTIMASI LOW-RANK COAL PADA KONVERSI OLI BEKAS MENJADI BASE FUEL,9786238388394,2023,2023,0
ORGANISASI ADAPTIF DI ERA DIGITAL,9786235851020,2022,2022,0
OTOMASI INDUSTRI – PLC DAN SCADA,9786238177875,2023,2023,0
Pakan Hijauan Strategis di Indonesia,9786236813256,2023,2023,0
Panduan Lengkap Digital Marketing,9786230133060,2023,2023,0
Panduan Lengkap Elektronika Daya Menggunakan Multisim,9786230128097,2022,2022,0
PEDOMAN PRAKTIS DALAM TEKNIK SIPIL UNTUK KEAIRAN DAN LINGKUNGAN,9786231143877,2024,2024,0
PEKERJAAN BEKISTING ALUMINIUM Analisis Faktor Dominan Penyebab Keterlambatan,9786238328758,2023,2023,0
PEMANENAN AIR HUJAN PADA ATAP BANGUNAN,9786236813171,2022,2022,0
Pembangunan Indonesia Menuju Poros Maritim Dunia,9786231145840,2024,2024,0
PEMROGRAMAN PYTHON,9786231144126,2024,2024,0
PENERAPAN SERVER FAILOVER CLUSTERING Berbasis Network Development Life Cycle,9786234950892,2022,2022,0
Pengantar Desain Komunikasi Visual Dalam Penerapan,9786230110214,2021,2021,0
PENGANTAR ILMU KOMPUTER,9786233293662,2021,2021,0
PENGANTAR JARINGAN KOMPUTER DASAR,9786234951585,2022,2022,0
Pengantar Proteksi Sistem Tenaga Elektrik,9786230131035,2022,2022,0
PENGANTAR RISET DIPLOMASI DIGITAL Konstruksi Wacana dan Pengolahan Data Digital,9786238227136,2023,2023,0
PENGANTAR SIMULASI PROSES DENGAN HYSYS,9786238364404,2023,2023,0
